grouping,alphabet,serial,subSerial,gridPosition,displayId,partOfSpeech,color,folderDisplayId,folderName,text,imageId,image,imageName
50,A,49,2,,A-49-2,adjective,#1983e5,3.2,Feelings,scared,https://drive.google.com/file/d/1gGWwt7v00CY2VLwzJ-Ep51xhGEGP-Ra_/view?usp=sharing,#N/A,scared.svg
50,A,441,1,,A-441-1,Noun,#ffae37,8.5,Common,school,U+1F3EB,🏫,
50,A,441,5,,A-441-5,Noun,#ffae37,8.5,Common,school's,https://drive.google.com/file/d/1BOzdigxem0AFjH_FMBbwLns0rgrS6RAZ/view?usp=sharing,#N/A,sddd.svg
50,A,441,2,,A-441-2,Noun,#ffae37,8.5,Common,schools,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,#N/A,gscssssssssses.svg
50,A,831,1,,A-831-1,Noun,#ffae37,9.3,Supplies,scissors,https://drive.google.com/file/d/1H5Q8hMNX1Z18bkR1rQBVZyKdHVKx0BaQ/view?usp=sharing,#N/A,getsssssspzw.svg
50,A,1053,5,,A-1053-5,Noun,#ffae37,15.3,Hurt,scrape,https://drive.google.com/file/d/1hWpLxRkG_l1WApyPaufvKrOHOwDVDn1h/view?usp=sharing,,scrape.svg
50,A,1053,6,,A-1053-6,Noun,#ffae37,15.3,Hurt,scrapes,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,,getssssoz.svg
50,A,921,1,,A-921-1,Noun,#ffae37,9.4,Tools,screwdriver,U+1FA9B,🪛,
50,A,921,2,,A-921-2,Noun,#ffae37,9.4,Tools,screwdrivers,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,#N/A,getsspqzw.svg
50,A,276,1,,A-276-1,noun,#ffae37,11,Shapes,shape,U+1F4A0,💠,
50,A,276,2,,A-276-2,noun,#ffae37,11,Shapes,shapes,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,#N/A,shapes.svg
50,A,455,1,,A-455-1,Noun,#ffae37,5.2,Water,shark,U+1F988,🦈,
50,A,455,3,,A-455-3,Noun,#ffae37,5.2,Water,shark's,https://drive.google.com/file/d/1BOzdigxem0AFjH_FMBbwLns0rgrS6RAZ/view?usp=sharing,#N/A,sf.svg
50,A,455,2,,A-455-2,Noun,#ffae37,5.2,Water,sharks,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,#N/A,getsssssdopq.svg
50,A,54,1,25,A-54-1,pronoun,#ffdd31,7.4,General,she,https://drive.google.com/file/d/1TziZWcLQIBH0C0JpWdbm0ZOMi_-PqfEC/view?usp=sharing,#N/A,she.svg
50,A,54,4,,A-54-4,verb,#20d35e,7.4,General,she's,https://drive.google.com/file/d/1MEyLndc9LbBTt2nxUdfjCY3KGJ1UFPqS/view?usp=sharing,#N/A,sheis.svg
50,A,932,1,,A-932-1,Noun,#ffae37,9.6,Clothing,shirt,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/t-shirt_410_g.svg,#N/A,tshirt_410_g.svg
50,A,932,2,,A-932-2,Noun,#ffae37,9.6,Clothing,shirts,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,#N/A,getsssdpqzw.svg
50,A,945,2,,A-945-2,Noun,#ffae37,9.6,Clothing,shoes,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,#N/A,getaaaopqzw.svg
